state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
8,Rajasthan,"RAJASTHAN                                         ",08,775,Balotra,बालोतरा,NA,6907,Gida,गिडा,00000,2024-10-07
20,Jharkhand,झारखंड,20,323,Chatra,चतरा,347,2522,Gidhaur,गिद्धौर,02522,2024-10-07
20,Jharkhand,झारखंड,20,329,Giridih,गिरिडीह,349,2539,Giridih,गिरिडीह,02539,2024-10-07
21,Odisha,ODISHA,21,350,Cuttack,"CUTTACK                                           ",381,2965,Gobindpur,,02965,2024-10-07
20,Jharkhand,झारखंड,20,325,Dhanbad,धनबाद,354,2583,Gobindpur,गोविंदपुर,02583,2024-10-07
20,Jharkhand,झारखंड,20,330,Godda,गोड्डा,351,2561,Godda,,02561,2024-10-07
18,Assam,"ASSAM                                             ",18,284,Dhemaji,"DHEMAJI                                           ",308,2058,Gogamukh,,02058,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,414,"Khargone (West Nimar)","खरगोन (पश्चिम निमाड़)",440,3551,Gogaon,गोगांव,03551,2024-10-07
10,Bihar,"BIHAR                                             ",10,202,Khagaria,खगड़िया,223,1327,Gogri,गोगरी,01327,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,395,Bhind,भिण्ड,420,3395,Gohad,गोहाद,03395,2024-10-07
18,Assam,"ASSAM                                             ",18,705,Biswanath,,000,2047,Gohpur,,02047,2024-10-07
18,Assam,"ASSAM                                             ",18,288,Golaghat,"GOLAGHAT                                          ",313,2085,Golaghat,,02085,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,502,Ananthapuramu,అనంతపురము,553,5310,Gooty,,05310,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,703,Jhargram,Jhargram,000,2456,"Gopiballavpur - II",,02456,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,411,Jabalpur,जबलपुर,451,7011,Gorakhpur,गोरखपुर,00000,2024-10-07
18,Assam,"ASSAM                                             ",18,756,Tamulpur,,000,2141,"Goreswar (Pt)",,02141,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,702,Kalimpong,KALIMPONG,000,2158,Gorubathan,,02158,2024-10-07
21,Odisha,ODISHA,21,365,Mayurbhanj,"MAYURBHANJ                                        ",376,2862,Gorumahisani,,02862,2024-10-07
21,Odisha,ODISHA,21,371,Sambalpur,"SAMBALPUR                                         ",372,2780,Govindpur,,02780,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,587,"The Nilgiris","THE NILGIRIS                                      ",611,5755,Gudalur,,05755,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,106,Jhunjhunu,"JHUNJHUNU                                         ",103,7144,Gudhagorji,गुढागौड़जी,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,510,Krishna,"KRISHNA                                           ",547,5029,Gudlavalleru,,05029,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,511,Kurnool,"KURNOOL                                           ",552,5257,Gudur,,05257,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,752,Tirupati,Tirupati,000,5184,Gudur,,05184,2024-10-07
27,Maharashtra,महाराष्ट्र,27,492,Ratnagiri,रत्नागिरी,528,4270,Guhagar,गुहाघर,04270,2024-10-07
36,Telangana,తెలంగాణ,00,691,Sangareddy,సంగారెడ్డి,000,6277,Gummadidala,గుమ్మడిదల,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,502,Ananthapuramu,అనంతపురము,553,5309,Guntakal,,05309,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,506,Guntur,"GUNTUR                                            ",548,5074,"Guntur West","Guntur West",05074,2024-10-07
10,Bihar,"BIHAR                                             ",10,196,Gaya,गया,236,1497,Guraru,गुरारु,01497,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,407,Gwalior,ग्वालियर,421,7395,"Gwalior Gramin","ग्वालियर ग्रामीण",00000,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,303,"North 24 Parganas","NORTH TWENTY FOUR PARGANAS",337,2321,"Habra - II",,02321,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,738,Vijayanagar,,000,5496,Hadagalli,ಹಡಗಲ್ಲಿ,05496,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,738,Vijayanagar,,000,5497,Hagaribommanahalli,"ಹಗರಿ ಬೊಮ್ಮನಹಳ್ಳಿ",05497,2024-10-07
18,Assam,"ASSAM                                             ",18,289,Hailakandi,"HAILAKANDI                                        ",318,2107,Hailakandi,,02107,2024-10-07
36,Telangana,తెలంగాణ,00,684,Mancherial,మంచిర్యాల్,000,6227,Hajipur,హజిపూర్,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,511,Kurnool,"KURNOOL                                           ",552,5273,Halaharvi,,05273,2024-10-07
5,Uttarakhand,UTTARAKHAND,05,51,Nainital,"NAINITAL                                          ",066,342,Haldwani,,00342,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,454,"Panch Mahals","PANCH MAHALS                                      ",484,3888,Halol,,03888,2024-10-07
10,Bihar,"BIHAR                                             ",10,204,Lakhisarai,लखीसराय,227,1371,Halsi,हलसी,01371,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,673,Morbi,MORBI,000,3788,Halvad,,03788,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,320,Nadia,"NADIA                                             ",336,2310,Hanskhali,,02310,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,442,Bharuch,"BHARUCH                                           ",488,3919,Hansot,,03919,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,661,Hapur,HAPUR,000,740,Hapur,,00740,2024-10-07
21,Odisha,ODISHA,21,349,Boudh,"BOUDH                                             ",391,3132,Harbhanga,,03132,2024-10-07
20,Jharkhand,झारखंड,20,338,Palamu,पलामू,358,2618,Hariharganj,,02618,2024-10-07
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,18,Kangra,"KANGRA                                            ",024,6920,Haripur,,00000,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,316,Malda,MALDA,332,2208,"Harischandrapur - I",,02208,2024-10-07
18,Assam,"ASSAM                                             ",18,617,Udalguri,,326,2151,Harisinga,,02151,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,303,"North 24 Parganas","NORTH TWENTY FOUR PARGANAS",337,2331,Haroa,,02331,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,571,Dharmapuri,"DHARMAPURI                                        ",630,5886,Harur,,05886,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,186,Unnao,"UNNAO                                             ",156,815,Hasanganj,,00815,2024-10-07
10,Bihar,"BIHAR                                             ",10,222,Siwan,सिवान,218,1245,Hasanpura,हसनपुरा,01245,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,303,"North 24 Parganas","NORTH TWENTY FOUR PARGANAS",337,2336,Hasnabad,,02336,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,410,Indore,इन्दौर,439,3541,Hatod,हतोद,03541,2024-10-07
27,Maharashtra,महाराष्ट्र,27,490,Pune,पुणे,521,4193,Haveli,हवेली,04193,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,545,Mysuru,ಮೈಸೂರು,577,5573,Heggadadevankote,ಹೆಗ್ಗಡದೇವನಕೋಟೆ,05573,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,311,"Uttar Dinajpur","UTTAR DINAJPUR",330,2197,Hemtabad,,02197,2024-10-07
14,Manipur,"MANIPUR                                           ",14,254,Churachandpur,"CHURACHANDPUR                                     ",274,6502,Henglep,,00000,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,458,"Sabar Kantha","SABAR KANTHA                                      ",472,3766,Himatnagar,,03766,2024-10-07
27,Maharashtra,महाराष्ट्र,27,477,Hingoli,हिंगोली,512,4112,Hingoli,"हिंगोली ",04112,2024-10-07
21,Odisha,ODISHA,21,371,Sambalpur,"SAMBALPUR                                         ",372,2787,Hirakud,,02787,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,305,Bankura,"BANKURA                                           ",339,2374,Hirbandh,,02374,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,533,Chitradurga,ಚಿತ್ರದುರ್ಗ,566,5506,Holalkere,ಹೊಳಲಕೆರೆ,05506,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,550,"Uttara Kannada","ಉತ್ತರ ಕನ್ನಡ",563,5487,Honavar,ಹೊನ್ನಾವರ,05487,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,526,"Bengaluru Rural","ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ",583,5604,Hosakote,ಹೊಸಕೋಟೆ,05604,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,533,Chitradurga,ಚಿತ್ರದುರ್ಗ,566,5507,Hosdurga,ಹೊಸದುರ್ಗ,05507,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,577,Krishnagiri,"KRISHNAGIRI                                       ",631,5890,Hosur,ஓசூர்,05890,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,536,Dharwad,ಧಾರವಾಡ,562,5475,Hubballi,ಹುಬಳ್ಳಿ,05475,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,635,Yadgir,ಯಾದಗಿರಿ,580,7096,Hunasagi,,00000,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,524,Bagalkote,ಬಾಗಲಕೋಟೆ,556,5448,Hungund,ಹುನಗುಂದ,05448,2024-10-07
36,Telangana,తెలంగాణ,00,692,Siddipet,సిద్దిపేట,000,4444,Husnabad,హుస్నాబాద్,04444,2024-10-07
