state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
8,Rajasthan,"RAJASTHAN                                         ",08,783,"Jaipur (Gramin)","जयपुर (ग्रामीण)",NA,7140,Aandhi,आंधी,00000,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,449,Kachchh,"KACHCHH                                           ",468,3728,Abdasa,,03728,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,387,Raipur,रायपुर,410,3331,Abhanpur,,03331,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,459,Surat,"SURAT                                             ",492,6518,Adajan,Adajan,00000,2024-10-07
21,Odisha,ODISHA,21,353,Gajapati,"GAJAPATI                                          ",389,3100,Adava,,03100,2024-10-07
36,Telangana,తెలంగాణ,00,514,Nalgonda,నల్గొండ,539,6304,Adavidevulapalli,అడవిదేవులపల్లి,00000,2024-10-07
36,Telangana,తెలంగాణ,00,697,"Yadadri Bhuvanagiri","యదాద్రి భువనగిరి",000,6310,"Adda Guduru",అడ్డగూడూరు,00000,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,411,Jabalpur,जबलपुर,451,7024,Adhartal,"आधारताल ",00000,2024-10-07
20,Jharkhand,झारखंड,20,341,"Saraikela Kharsawan","सरायकेला खरसावां",369,2752,Adityapur(Gamharia),,02752,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,511,Kurnool,"KURNOOL                                           ",552,5271,Adoni,,05271,2024-10-07
18,Assam,"ASSAM                                             ",18,285,Dhubri,"DHUBURI                                           ",301,2006,Agamoni,,02006,2024-10-07
21,Odisha,ODISHA,21,348,Bhadrak,"BHADRAK                                           ",378,2910,Agarpada,,02910,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,444,Dangs,DANGS,489,3921,Ahwa,,03921,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,379,Janjgir-Champa,"जांजगीर - चाम्पा",405,3278,Akaltara,,03278,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,121,"Ambedkar Nagar","AMBEDKAR NAGAR                                    ",178,910,Akbarpur,,00910,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,5,Jammu,"JAMMU                                             ",021,78,Akhnoor,,00078,2024-10-07
27,Maharashtra,महाराष्ट्र,27,467,Akola,अकोला,501,3991,Akola,अकोला,03991,2024-10-07
13,Nagaland,"NAGALAND                                          ",13,251,Zunheboto,"ZUNHEBOTO                                         ",263,1768,Akuluto,,01768,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,568,Chennai,"CHENNAI                                           ",603,5704,Alandur,,05704,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,581,Perambalur,"PERAMBALUR                                        ",615,5951,Alathur,,00000,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,120,Prayagraj,PRAYAGRAJ,175,890,Allahabad,,00890,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,87,Alwar,"ALWAR                                             ",104,499,Alwar,,00499,2024-10-07
27,Maharashtra,महाराष्ट्र,27,478,Jalgaon,जळगाव,499,3969,Amalner,अमळनेर,03969,2024-10-07
36,Telangana,తెలంగాణ,00,518,"Ranga Reddy","రంగా రెడ్డి",537,4563,Amangal,అమంగల్,04563,2024-10-07
10,Bihar,"BIHAR                                             ",10,190,Banka,बांका,225,1346,Amarpur,अमरपुर,01346,2024-10-07
21,Odisha,ODISHA,21,370,Rayagada,"RAYAGADA                                          ",396,3172,Ambadala,,03172,2024-10-07
16,Tripura,ত্রিপুরা,16,269,Dhalai,ধলাই,291,6697,Ambassa,আমবাসা,00000,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,568,Chennai,"CHENNAI                                           ",603,5700,Ambattur,,05700,2024-10-07
27,Maharashtra,महाराष्ट्र,27,490,Pune,पुणे,521,4188,Ambegaon,आंबेगाव,04188,2024-10-07
27,Maharashtra,महाराष्ट्र,27,470,Beed,बीड,523,4225,Ambejogai,आंबेजोगाई,04225,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,732,Tirupathur,திருப்பத்தூர்,000,5719,Ambur,,05719,2024-10-07
10,Bihar,"BIHAR                                             ",10,201,Katihar,कटिहार,212,1157,Amdabad,अमदाबाद,01157,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,112,Rajsamand,"RAJSAMAND                                         ",123,641,Amet,,00641,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,568,Chennai,"CHENNAI                                           ",603,7161,Aminjikarai,அமைந்தகரை,00000,2024-10-07
17,Meghalaya,"MEGHALAYA                                         ",17,275,"West Jaintia Hills","WEST JAINTIA HILLS",299,1998,Amlarem,,01998,2024-10-07
3,Punjab,"PUNJAB                                            ",03,30,"Fatehgarh Sahib","FATEHGARH SAHIB                                   ",040,222,Amloh,,00222,2024-10-07
3,Punjab,"PUNJAB                                            ",03,27,Amritsar,"AMRITSAR                                          ",049,256,"Amritsar -I",,00256,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,313,Howrah,"HOWRAH                                            ",341,2399,"Amta - II",,02399,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,744,Anakapalli,Anakapalli,000,4871,Anakapalli,Anakapalli,04871,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,440,Anand,"ANAND                                             ",482,6530,"Anand City",,00000,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,440,Anand,"ANAND                                             ",482,3864,"Anand Rural",,03864,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,1,Anantnag,"ANANTNAG                                          ",014,55,Anantnag,,00055,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,1,Anantnag,"ANANTNAG                                          ",014,6822,"Anantnag East","Anantnag East",00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,206,Madhubani,मधुबनी,207,1096,Andhratharhi,अंधराठाढ़ी,01096,2024-10-07
31,Lakshadweep,"LAKSHADWEEP                                       ",31,553,"Lakshadweep District","LAKSHADWEEP DISTRICT                              ",587,5627,Andrott,,05627,2024-10-07
27,Maharashtra,महाराष्ट्र,27,468,Amravati,अमरावती,503,4003,"Anjangaon Surji","अंजनगाव सुर्जी",04003,2024-10-07
36,Telangana,తెలంగాణ,00,690,"Bhadradri Kothagudem","భద్రాద్రి కొత్తగూడెం",000,6268,Annapureddypalli,అన్నపురెడ్డిపల్లి,00000,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,536,Dharwad,ಧಾರವಾಡ,562,7080,Annigeri,,00000,2024-10-07
21,Odisha,ODISHA,21,344,Anugul,"ANUGUL                                            ",384,3011,Anugul,,03011,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,776,Anupgarh,अनूपगढ़,NA,462,Anupgarh,,00462,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,134,Bulandshahr,"BULANDSHAHR                                       ",142,748,Anupshahr,,00748,2024-10-07
10,Bihar,"BIHAR                                             ",10,188,Araria,अररिया,209,1116,Araria,अररिया,01116,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,11,Pulwama,"PULWAMA                                           ",012,6795,Aripal,Aripal,00000,2024-10-07
27,Maharashtra,महाराष्ट्र,27,476,Gondia,गोंदीया,507,4050,"Arjuni Morgaon","अर्जुनी मोरगाव",04050,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,539,Hassan,ಹಾಸನ,574,5558,Arkalgud,ಅರಕಲಗೂಡು,05558,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,539,Hassan,ಹಾಸನ,574,5555,Arsikere,ಅರಸೀಕೆರೆ,05555,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,427,Sehore,सीहोर,445,3584,Ashta,आष्‍टा,03584,2024-10-07
27,Maharashtra,महाराष्ट्र,27,470,Beed,बीड,523,4215,Ashti,आष्टी,04215,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,105,Jhalawar,"JHALAWAR                                          ",129,6055,Asnawar,ASNAWAR,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,511,Kurnool,"KURNOOL                                           ",552,5275,Aspari,,05275,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,128,Banda,"BANDA                                             ",170,873,Atarra,,00873,2024-10-07
21,Odisha,ODISHA,21,344,Anugul,"ANUGUL                                            ",384,3017,Athmallik,,03017,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,527,Belagavi,ಬೆಳಗಾವಿ,555,5434,Athni,ಅಥಣಿ,05434,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,572,Dindigul,"DINDIGUL                                          ",612,5994,Athoor,Athoor,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,523,"West Godavari","పశ్చిమగోదావరి                                     ",546,4973,Attili,,04973,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,306,"Purba Bardhaman","PURBA BARDHAMAN",335,2277,"Ausgram - I",,02277,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,430,Shajapur,शाजापुर,436,6510,"Avantipur Barodia","अवंतीपुर बड़ौदिया",00000,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,568,Chennai,"CHENNAI                                           ",603,7163,Ayanavaram,அயனாவரம,00000,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,530,Vijayapura,ವಿಜಯಾಪುರ,557,7069,Babaleshwar,,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,206,Madhubani,मधुबनी,207,1088,Babubarhi,बाबुबरही,01088,2024-10-07
36,Telangana,తెలంగాణ,00,689,Jangoan,జనగాం,000,4674,Bachannapet,బచ్చన్నపేట,04674,2024-10-07
21,Odisha,ODISHA,21,354,Ganjam,"GANJAM                                            ",388,3077,Badagada,,03077,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,376,"Dakshin Bastar Dantewada","दक्षिण बस्तर दंतेवाड़ा",416,6509,"Bade Bacheli","BADE BACHELI",00000,2024-10-07
6,Haryana,"HARYANA                                           ",06,60,Faridabad,"FARIDABAD                                         ",088,6407,Badkhal,बड़खल,00000,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,435,Ujjain,उज्जैन,435,3514,Badnagar,बड़नगर,03514,2024-10-07
27,Maharashtra,महाराष्ट्र,27,479,Jalna,जालना,514,4128,Badnapur,बदनापूर,04128,2024-10-07
6,Haryana,"HARYANA                                           ",06,62,Gurugram,GURUGRAM,086,6421,"Badshahpur St",बादशाहपुर,00000,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,303,"North 24 Parganas","NORTH TWENTY FOUR PARGANAS",337,2328,Baduria,,02328,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,504,Y.S.R.,,551,5210,Badvel,,05210,2024-10-07
10,Bihar,"BIHAR                                             ",10,211,"Pashchim Champaran","पश्चिम चम्पारण",203,1019,Bagaha,,01019,2024-10-07
27,Maharashtra,महाराष्ट्र,27,487,Nashik,नाशिक,516,4145,Baglan,बागलण,04145,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,313,Howrah,"HOWRAH                                            ",341,2409,"Bagnan - II",,02409,2024-10-07
18,Assam,"ASSAM                                             ",18,294,Kokrajhar,"KOKRAJHAR                                         ",300,2005,"Bagribari (Pt)",,02005,2024-10-07
10,Bihar,"BIHAR                                             ",10,195,Darbhanga,दरभंगा,215,1189,Bahadurpur,बहादुरपुर,01189,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,391,Ashoknagar,अशोकनगर,459,6978,Bahadurpur,बहादुरपुर,00000,2024-10-07
6,Haryana,"HARYANA                                           ",06,59,Bhiwani,"BHIWANI                                           ",081,6432,"Bahal St",बहल,00000,2024-10-07
20,Jharkhand,झारखंड,20,327,"East Singhbum","पूर्वी सिंघभूम",357,2614,Baharagora,,02614,2024-10-07
34,Puducherry,PUDUCHERRY,34,600,Puducherry,புதுச்சேரி,635,5912,Bahour,பாகூர்,05912,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,423,Ratlam,रतलाम,434,3505,Bajna,बाजना,03505,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,105,Jhalawar,"JHALAWAR                                          ",129,6666,Bakani,Bakani,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,191,Begusarai,बेगूसराय,222,1316,Bakhri,बखरी,01316,2024-10-07
36,Telangana,తెలంగాణ,00,700,"Medchal Malkajgiri","మేడ్చల్ మల్కాజిగిరి",000,4517,Balanagar,బాలానగర్,04517,2024-10-07
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,242,"West Kameng","WEST KAMENG                                       ",246,6564,"Balemu Circle","Balemu Circle",00000,2024-10-07
21,Odisha,ODISHA,21,346,Baleshwar,"BALESHWAR                                         ",377,2897,"Baleshwar Sadar",,02897,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,771,Gangapurcity,गंगापुरसिटी,NA,7360,Balghat,बालघाट,00000,2024-10-07
21,Odisha,ODISHA,21,346,Baleshwar,"BALESHWAR                                         ",377,2893,Baliapal,,02893,2024-10-07
6,Haryana,"HARYANA                                           ",06,60,Faridabad,"FARIDABAD                                         ",088,426,Ballabgarh,,00426,2024-10-07
10,Bihar,"BIHAR                                             ",10,201,Katihar,कटिहार,212,1146,Balrampur,बलरामपुर,01146,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,771,Gangapurcity,गंगापुरसिटी,NA,527,Bamanwas,,00527,2024-10-07
21,Odisha,ODISHA,21,357,Jharsuguda,"JHARSUGUDA                                        ",371,2773,Banaharapali,,02773,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,314,Jalpaiguri,"JALPAIGURI                                        ",328,7118,Banarhat,BANARHAT,00000,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,436,Umaria,उमरिया,431,3482,Bandhavgarh,बांधवगढ़,03482,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,623,Bandipora,"BANDIPORA                                         ",009,41,Bandipora,,00041,2024-10-07
21,Odisha,ODISHA,21,373,Sundargarh,"SUNDARGARH                                        ",374,2830,Banei,,02830,2024-10-07
5,Uttarakhand,UTTARAKHAND,05,53,Pithoragarh,"PITHORAGARH                                       ",062,6356,Bangapani,,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,218,Saran,सारण,219,1252,Baniapur,बनियापुर,01252,2024-10-07
10,Bihar,"BIHAR                                             ",10,213,"Purbi Champaran","पूर्वी चंपारण",204,1035,Banjaria,बंजरिया,01035,2024-10-07
10,Bihar,"BIHAR                                             ",10,196,Gaya,गया,236,1500,"Banke Bazar",बांकेबाजार,01500,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,453,Navsari,"NAVSARI                                           ",490,3926,Bansda,,03926,2024-10-07
20,Jharkhand,झारखंड,20,342,Simdega,सिमडेगा,367,2726,Bansjor,,02726,2024-10-07
36,Telangana,తెలంగాణ,00,685,Kamareddy,కామారెడ్డి,000,4383,Banswada,"బాన్స్ వాడ",04383,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,510,Krishna,"KRISHNA                                           ",547,5019,Bantumilli,,05019,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,772,Phalodi,फलाैदी,NA,6048,Bap,Bap,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,190,Banka,बांका,225,1349,Barahat,बाराहट,01349,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,421,Raisen,रायसेन,446,3594,Baraily,बरेली,03594,2024-10-07
27,Maharashtra,महाराष्ट्र,27,490,Pune,पुणे,521,4199,Baramati,बारामती,04199,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,303,"North 24 Parganas","NORTH TWENTY FOUR PARGANAS",337,2326,"Barasat - II",,02326,2024-10-07
10,Bihar,"BIHAR                                             ",10,197,Gopalganj,गोपालगंज,217,1226,Barauli,बरौली,01226,2024-10-07
21,Odisha,ODISHA,21,361,Kendujhar,"KENDUJHAR                                         ",375,2834,Barbil,,02834,2024-10-07
30,Goa,"GOA                                               ",30,551,"North Goa","NORTH GOA                                         ",585,5610,Bardez,,05610,2024-10-07
20,Jharkhand,झारखंड,20,340,Sahebganj,साहेबगंज,352,2567,Barhait,,02567,2024-10-07
21,Odisha,ODISHA,21,361,Kendujhar,"KENDUJHAR                                         ",375,2841,Baria,,02841,2024-10-07
21,Odisha,ODISHA,21,365,Mayurbhanj,"MAYURBHANJ                                        ",376,2888,"Baripada (M)",,02888,2024-10-07
21,Odisha,ODISHA,21,365,Mayurbhanj,"MAYURBHANJ                                        ",376,2872,"Baripada Sadar",,02872,2024-10-07
20,Jharkhand,झारखंड,20,332,Hazaribagh,हज़ारीबाग,360,2650,Barkatha,,02650,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,771,Gangapurcity,गंगापुरसिटी,NA,7224,Barnala,बरनाला,00000,2024-10-07
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,18,Kangra,"KANGRA                                            ",024,102,Baroh,,00102,2024-10-07
10,Bihar,"BIHAR                                             ",10,189,Aurangabad,औरंगाबाद,235,1482,Barun,बारुन,01482,2024-10-07
6,Haryana,"HARYANA                                           ",06,70,Panchkula,"PANCHKULA                                         ",069,6460,"Barwala St",बरवाला,00000,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,303,"North 24 Parganas","NORTH TWENTY FOUR PARGANAS",337,2329,"Basirhat - I",,02329,2024-10-07
10,Bihar,"BIHAR                                             ",10,206,Madhubani,मधुबनी,207,1082,Basopatti,बसोंपट्टी,01082,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,95,Chittorgarh,"CHITTORGARH                                       ",126,7133,Bassi,बस्सी,00000,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,374,Bastar,बस्तर,414,3363,Bastar,,03363,2024-10-07
21,Odisha,ODISHA,21,348,Bhadrak,"BHADRAK                                           ",378,2915,Basudebpur,,02915,2024-10-07
17,Meghalaya,"MEGHALAYA                                         ",17,278,"West Garo Hills","WEST GARO HILLS                                   ",293,7339,Batabari,,00000,2024-10-07
3,Punjab,"PUNJAB                                            ",03,28,Bathinda,"BATHINDA                                          ",046,245,Bathinda,ਬਠਿੰਡਾ,00245,2024-10-07
21,Odisha,ODISHA,21,349,Boudh,"BOUDH                                             ",391,3129,Baunsuni,,03129,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,91,Bharatpur,"BHARATPUR                                         ",105,513,Bayana,,00513,2024-10-07
27,Maharashtra,महाराष्ट्र,27,470,Beed,बीड,523,4221,Beed,बीड,04221,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,753,Annamayya,Annamayya,000,5391,"Beerongi Kothakota","బీరంగి కొత్తకోట",05391,2024-10-07
21,Odisha,ODISHA,21,362,Khordha,"KHORDHA                                           ",386,3035,Begunia,,03035,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,177,Saharanpur,"SAHARANPUR                                        ",132,701,Behat,,00701,2024-10-07
10,Bihar,"BIHAR                                             ",10,193,Bhojpur,भोजपुर,231,1427,Behea,बिहिया,01427,2024-10-07
36,Telangana,తెలంగాణ,00,692,Siddipet,సిద్దిపేట,000,4437,Bejjanki,బెజ్జంకి,04437,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,97,Dausa,"DAUSA                                             ",109,7135,Bejupada,बैजूपाडा,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,196,Gaya,गया,236,1489,Belaganj,बेलागन्ज,01489,2024-10-07
10,Bihar,"BIHAR                                             ",10,212,Patna,पटना,230,1416,Belchhi,बेलछी,01416,2024-10-07
10,Bihar,"BIHAR                                             ",10,202,Khagaria,खगड़िया,223,1326,Beldaur,बेलदौर,01326,2024-10-07
36,Telangana,తెలంగాణ,00,684,Mancherial,మంచిర్యాల్,000,4350,Bellampally,బెల్లంపల్లి,04350,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,525,"Bengaluru Urban",ಬೆಂಗಳೂರು,572,5542,"Bengaluru North","ಬೆಂಗಳೂರು ಉತ್ತರ",05542,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,525,"Bengaluru Urban",ಬೆಂಗಳೂರು,572,5543,"Bengaluru South","ಬೆಂಗಳೂರು ದಕ್ಷಿಣ",05543,2024-10-07
18,Assam,"ASSAM                                             ",18,612,Chirang,"                                                  ",320,2113,Bengtol,,02113,2024-10-07
10,Bihar,"BIHAR                                             ",10,206,Madhubani,मधुबनी,207,1091,Benipatti,बेनीपट्टी,01091,2024-10-07
10,Bihar,"BIHAR                                             ",10,195,Darbhanga,दरभंगा,215,1188,Benipur,बेनीपुर,01188,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,429,Shahdol,शहडोल,460,3689,Beohari,ब्यौहरी,03689,2024-10-07
6,Haryana,"HARYANA                                           ",06,64,Jhajjar,"JHAJJAR                                           ",083,407,Beri,,00407,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,12,Rajouri,RAJOURI,006,6776,"Beri Pattan","Beri Pattan",00000,2024-10-07
5,Uttarakhand,UTTARAKHAND,05,51,Nainital,"NAINITAL                                          ",066,339,Betalghat,,00339,2024-10-07
21,Odisha,ODISHA,21,365,Mayurbhanj,"MAYURBHANJ                                        ",376,2881,Betanati,,02881,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,394,Betul,बैतूल,447,3600,Betul,बैतूल,03600,2024-10-07
10,Bihar,"BIHAR                                             ",10,200,"Kaimur (Bhabua)","कैमूर ( भभुआ )",233,1453,Bhabua,भभुआ,01453,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,449,Kachchh,"KACHCHH                                           ",468,3724,Bhachau,,03724,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,179,Bhadohi,BHADOHI,198,997,Bhadohi,,00997,2024-10-07
21,Odisha,ODISHA,21,348,Bhadrak,"BHADRAK                                           ",378,2914,"Bhadrak Rural",,02914,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,319,Murshidabad,"MURSHIDABAD                                       ",333,2231,"Bhagawangola - I",,02231,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,394,Betul,बैतूल,447,3598,Bhainsdehi,भैंसदेही,03598,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,648,Surajpur,सूरजपुर,000,3244,Bhaiyathan,भैयाथान,03244,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,4,Doda,"DODA                                              ",016,6755,Bhalla,Bhalla,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,743,"Parvathipuram Manyam","Parvathipuram Manyam",000,4771,Bhamini,,04771,2024-10-07
27,Maharashtra,महाराष्ट्र,27,471,Bhandara,भंडारा,506,4039,Bhandara,भंडारा,04039,2024-10-07
13,Nagaland,"NAGALAND                                          ",13,250,Wokha,"WOKHA                                             ",264,1782,Bhandari,,01782,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,416,Mandsaur,मन्दसौर,433,3492,Bhanpura,भानपुरा,03492,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,374,Bastar,बस्तर,414,7312,Bhanpuri,भानपुरी,00000,2024-10-07
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,15,Bilaspur,"BILASPUR                                          ",030,153,Bharari,,00153,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,760,"Manendragarh-Chirmiri-Bharatpur(M C B)",मनेन्द्रगढ़-चिरमिरी-भरतपुर(ऍम.सी.बी.),000,3231,Bharatpur,,03231,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,91,Bharatpur,"BHARATPUR                                         ",105,511,Bharatpur,,00511,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,319,Murshidabad,"MURSHIDABAD                                       ",333,2247,"Bharatpur - I",,02247,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,139,Etawah,"ETAWAH                                            ",161,839,Bharthana,,00839,2024-10-07
21,Odisha,ODISHA,21,373,Sundargarh,"SUNDARGARH                                        ",374,2806,Bhasma,,02806,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,644,Balodabazar-Bhatapara,बलौदाबाजार-भाटापारा,000,3325,Bhatapara,,03325,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,648,Surajpur,सूरजपुर,000,7310,Bhatgaon,भटगाँव,00000,2024-10-07
5,Uttarakhand,UTTARAKHAND,05,57,"Uttar Kashi","UTTAR KASHI                                       ",056,283,Bhatwari,,00283,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,573,Erode,"ERODE                                             ",610,5750,Bhavani,,05750,2024-10-07
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,18,Kangra,"KANGRA                                            ",024,6939,Bhawarna,,00000,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,448,Junagadh,"JUNAGADH                                          ",479,3828,Bhesan,,03828,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,378,Durg,दुर्ग,409,7329,Bhilai-3,भिलाई-3,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,523,"West Godavari","పశ్చిమగోదావరి                                     ",546,4984,Bhimavaram,,04984,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,395,Bhind,भिण्ड,420,6994,"Bhind Nagar","भिण्‍ड शहरी",00000,2024-10-07
6,Haryana,"HARYANA                                           ",06,59,Bhiwani,"BHIWANI                                           ",081,398,Bhiwani,,00398,2024-10-07
36,Telangana,తెలంగాణ,00,697,"Yadadri Bhuvanagiri","యదాద్రి భువనగిరి",000,4628,Bhongir,భూవనగిరి,04628,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,95,Chittorgarh,"CHITTORGARH                                       ",126,6057,Bhopalsagar,,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,197,Gopalganj,गोपालगंज,217,1217,Bhorey,भोरे,01217,2024-10-07
21,Odisha,ODISHA,21,362,Khordha,"KHORDHA                                           ",386,3055,"Bhubaneswar (M.Corp.)",,03055,2024-10-07
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,20,Kullu,"KULLU                                             ",026,6887,Bhuntar,,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,217,Samastipur,समस्तीपुर,221,1299,Bibhutpur,बिभुतिपुर,01299,2024-10-07
36,Telangana,తెలంగాణ,00,685,Kamareddy,కామారెడ్డి,000,6242,Bibipet,బీబీపేట్,00000,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,636,Bijapur,बीजापुर,417,3378,Bijapur,,03378,2024-10-07
21,Odisha,ODISHA,21,344,Anugul,"ANUGUL                                            ",384,3008,Bikrampur,,03008,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,436,Umaria,उमरिया,431,6974,Bilaspur,बिलासपुर,00000,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,375,Bilaspur,बिलासपुर,406,3295,Bilaspur,,03295,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,425,Sagar,सागर,427,3443,Bina,बीना,03443,2024-10-07
